event_sequence,utc,seconds_from_first_sample,seconds_from_flash_runner_complete,channel_0,channel_1,gain_index,integration_index,density_estimate,saturated,valid
202,2026-07-15T01:23:23.745930665Z,18.445613359,2.675879701,2073,214,2,0,0.647105013511,0,1
203,2026-07-15T01:23:23.846418797Z,18.546101491,2.776367833,2010,208,2,0,0.660436114624,0,1
204,2026-07-15T01:23:23.946896983Z,18.646579677,2.876846019,1816,187,2,0,0.704305850366,0,1
205,2026-07-15T01:23:24.047290543Z,18.746973237,2.977239579,1607,166,2,0,0.757206822342,0,1
206,2026-07-15T01:23:24.147819647Z,18.847502341,3.077768683,1855,191,2,0,0.695118443585,0,1
207,2026-07-15T01:23:24.298489346Z,18.998172040,3.228438382,1356,140,2,0,0.830785512410,0,1
208,2026-07-15T01:23:24.398999763Z,19.098682457,3.328948799,1292,134,2,0,0.851753189737,0,1
209,2026-07-15T01:23:24.499412660Z,19.199095354,3.429361696,1480,153,2,0,0.792860576488,0,1
210,2026-07-15T01:23:24.599819006Z,19.299501700,3.529768042,1921,199,2,0,0.680005815952,0,1
211,2026-07-15T01:23:24.700338558Z,19.400021252,3.630287594,2035,211,2,0,0.655096197919,0,1
212,2026-07-15T01:23:24.800965339Z,19.500648033,3.730914375,2062,214,2,0,0.649402946578,0,1
213,2026-07-15T01:23:24.901543338Z,19.601226032,3.831492374,2085,216,2,0,0.644612170634,0,1
214,2026-07-15T01:23:25.001981572Z,19.701664266,3.931930608,2161,224,2,0,0.629152737528,0,1
215,2026-07-15T01:23:25.102506107Z,19.802188801,4.032455143,2118,219,2,0,0.637830801993,0,1
216,2026-07-15T01:23:25.203065294Z,19.902747988,4.133014330,2090,216,2,0,0.643577756857,0,1
217,2026-07-15T01:23:25.303690436Z,20.003373130,4.233639472,2035,210,2,0,0.655096197919,0,1
218,2026-07-15T01:23:25.404063934Z,20.103746628,4.334012970,2146,222,2,0,0.632160017670,0,1
